name,domination_number,total_domination_number,connected_domination_number,semitotal_domination_number,independence_number,power_domination_number,zero_forcing_number,total_zero_forcing_number,connected_zero_forcing_number,diameter,radius,order,size,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,randic_index,harmonic_index,sum_connectivity_index,min_degree,max_degree,clique_number,residue,annihilation_number,sub_total_domination_number,slater,k_slater_index,wiener_index,vertex_cover_number,k_residual_index,(order - domination_number),(order - total_domination_number),(order - connected_domination_number),(order - power_domination_number),(order - zero_forcing_number),(order - triameter),(order - diameter),(order - radius),(order - independent_domination_number),(order - chromatic_number),(order - matching_number),(order - min_maximal_matching_number),(order - min_degree),(order - max_degree),(order - clique_number),(order - residue),(order - annihilation_number),(order - sub_total_domination_number),(order - slater),(order - k_slater_index),(order - k_residual_index),min_edge_cover,[(annihilation_number + residue)/ max_degree],[order/ max_degree],[order/ (max_degree + 1)],[order/ (max_degree - 1)],[order/ (max_degree + 2)],(residue + annihilation_number),a connected graph,a tree graph,a connected_graph with min_degree at least 2,a connected_graph with min_degree at least 3,a connected_graph with min_degree at least 4,a connected and bipartite graph,an eulerian graph,a connected and planar graph,a connected and regular graph,a connected and cubic graph,a connected graph which is not K_n,a connected and triangle-free graph,a connected and at-free graph,a connected and claw-free graph,a connected graph with maximum degree at most 3,a connected graph which is not K_n and has maximum degree at most 3,"a connected, claw-free, and cubic graph","a connected, planar, and cubic graph",a connected and cubic graph which is not K_4,a connected and well-covered graph,a connected graph with diameter at most 3,a connected and planar graph with diameter at most 3,a connected and chordal graph,a connected and bipartite graph with min_degree at least 2,a connected and bipartite graph with min_degree at least 3,a connected and bipartite graph with min_degree at least 4,a connected and planar graph with min_degree at least 2,a connected and planar graph with min_degree at least 3,a connected and planar graph with min_degree at least 4,a connected graph which is not K_n with min_degree at least 2,a connected graph which is not K_n with min_degree at least 3,a connected graph which is not K_n with min_degree at least 4,a connected and triangle-free graph with min_degree at least 2,a connected and triangle-free graph with min_degree at least 3,a connected and triangle-free graph with min_degree at least 4,a connected and at-free graph with min_degree at least 2,a connected and at-free graph with min_degree at least 3,a connected and at-free graph with min_degree at least 4,a connected and claw-free graph with min_degree at least 2,a connected and claw-free graph with min_degree at least 3,a connected and claw-free graph with min_degree at least 4,a connected graph with min_degree at least 2 and maximum degree at most 3,a connected and chordal graph with min_degree at least 2,a connected and chordal graph with min_degree at least 3,a connected and diamond-free graph,"a connected, cubic, and diamond-free graph",a connected and bull-free graph,positive_semidefinite_zero_forcing_number,graph_energy,square_positive_energy,second_largest_eigenvalues,a block graph, second_largest_eigenvalue,LG_residue,LG_annihilation,LG_graph_energy,LG_slater,square_residue,square_annihilation,square_zero_forcing_number,square_clique_number,outer_connected_domination_number,edge_domination_number,square_chromatic_number,cubed_chromatic_number,cube_residue,cube_annihilation,power_2_residue_sum,power_3_residue_sum,power_2_annihilation_sum,power_3_annihilation_sum,power_max_degree_residue_sum,power_max_degree_annihilation_sum,power_min_degree_residue_sum,power_min_degree_annihilation_sum,residue_residue_power_sum,roman_domination_number,double_roman_domination_number,two_rainbow_domination_number,three_rainbow_domination_number,restrained_domination_number,strong_harmonic_index,reciprocal_first_zagreb_index,reciprocal_second_zagreb_index,reciprocal_harary_index,reciprocal_second_zagreb_variation,reciprocal_randic_index,reciprocal_augmented_zagreb_index,reciprocal_sum_connectivity_index,reciprocal_hyper_zagreb_index,reciprocal_geometric_arithmetic_index,reciprocal_first_zagreb_index_2_degree,reciprocal_second_zagreb_index_2_degree,reciprocal_randic_index_2_degree,reciprocal_sum_connectivity_index_2_degree,reciprocal_geometric_arithmetic_index_2_degree,augmented_average_edge_degree,inverse_degree_plus_two_sum,inverse_degree_plus_one_sum,inverse_edge_degree_plus_two_sum,inverse_edge_degree_plus_one_sum,a connected graph that is a line graph
cubic17,3,4,4,6,4,2,4,4,4,3,3,10,15,3,3,5,4,8,5.0,5.0,6.123724356957946,3,3,3,3,5,4,3,1,85.0,6,2,7,6,6,8,6,2,7,7,7,7,5,6,7,7,7,7,5,6,7,9,8,5,2.6666666666666665,3.333333333333333,2.5,5.0,2.0,8,True,False,True,True,False,False,False,False,True,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,3,14,(16+0j),(2+0j),False,2,3,7,26,3,2,5,7,6,3,4,6,10,1,5,5,6,10,15,6,15,6,15,6,6.0,9.0,5,6,3,2.5,1.1111111111111114,1.6666666666666672,42.22222222222224,2.5,4.999999999999999,1.3168724279835389,6.123724356957946,1.6666666666666667,15.0,0.2092545351473922,0.3112599206349206,2.156209743098088,4.015124287526184,14.96911130454958,4.285714285714286,2.0,2.5,2.1428571428571423,2.5,False
quartic5,2,2,2,4,2,1,4,4,4,2,2,8,16,2,4,4,3,5,4.0,4.0,5.65685424949238,4,4,4,2,4,2,2,1,40.0,6,1,6,6,6,7,4,3,6,6,6,4,4,5,4,4,4,6,4,6,6,7,7,4,1.5,2.0,1.6,2.6666666666666665,1.3333333333333333,6,True,False,True,True,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,4,12,(20+0j),(2+0j),False,2,3,8,32,3,1,4,7,8,2,3,8,8,1,4,3,4,8,12,5,16,5,16,3,4.0,6.0,4,5,2,2.0,0.5,1.0,38.0,2.0,4.0,0.84375,5.6568542494923815,0.6666666666666666,16.0,0.1632653061224489,0.326530612244898,2.285714285714285,4.2761798705987895,16.0,3.555555555555556,1.3333333333333333,1.6,1.7777777777777783,2.0,False
MathematicaGraph6027,2,2,2,4,2,1,1,2,1,3,2,4,3,2,2,2,1,6,1.914213562373095,1.8333333333333333,1.6547005383792517,1,2,2,2,2,2,2,1,10.0,2,1,2,2,2,3,3,-2,1,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2.0,2.0,1.3333333333333333,4.0,1.0,4,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,4,(3+0j),(1+0j),True,1,2,2,3,1,2,2,2,3,2,1,3,4,1,2,4,5,4,6,4,4,2,2,4,3.0,5.0,3,4,2,0.9166666666666664,2.5,1.25,7.222222222222221,0.9166666666666664,1.914213562373095,0.375,1.6547005383792517,1.0,2.885618083164127,0.7222222222222222,0.4444444444444444,1.1498299142610595,1.3026754814637789,2.9595917942265424,1.3846153846153844,1.1666666666666663,1.6666666666666663,0.7,0.9166666666666664,True
T13,2,4,4,4,6,1,6,6,6,3,3,14,36,2,3,7,4,7,6.898979485566357,6.8,11.053567999541864,4,6,3,3,8,3,2,1,153.0,8,4,12,10,10,13,8,7,11,11,12,11,7,10,10,8,11,11,6,11,12,13,10,7,1.8333333333333333,2.333333333333333,2.0,2.8,1.75,11,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,26,(48+0j),(3+0j),False,3,4,19,88,4,2,7,12,7,2,4,7,14,1,7,5,6,15,22,9,43,7,29,6,4.0,6.0,4,6,2,3.4000000000000017,0.5972222222222222,1.3333333333333337,97.5555555555556,3.4000000000000017,6.8989794855663575,1.1460905349794233,11.053567999541862,0.7666666666666667,35.515101530718496,0.0972222222222222,0.25,3.000000000000001,7.348469228349535,36.0,6.171428571428572,2.0,2.3428571428571425,3.104895104895104,3.4000000000000017,False
MathematicaGraph6033,4,6,8,8,5,1,1,2,1,9,5,10,9,4,2,5,3,18,4.914213562373095,4.833333333333333,4.654700538379252,1,2,2,4,5,5,4,1,165.0,5,2,6,4,2,9,9,-8,1,5,6,8,5,7,9,8,8,6,5,5,6,9,8,5,4.5,5.0,3.333333333333333,10.0,2.5,9,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,12,(9+0j),(2+0j),True,2,4,5,11,3,3,5,2,3,8,3,3,4,2,6,7,9,10,16,7,10,4,5,11,7.0,11.0,6,10,4,2.4166666666666665,4.0,2.75,25.137418115394293,2.4166666666666665,4.914213562373096,1.125,4.654700538379252,4.0,8.885618083164127,1.0972222222222223,0.8125,2.643846850117352,3.4181230899847392,8.939078431448117,3.767441860465116,2.6666666666666665,3.666666666666667,1.9,2.4166666666666665,True
G32,2,2,2,4,2,1,2,2,2,3,2,6,9,2,3,3,2,6,2.928303900493525,2.8595238095238096,3.5763350545578243,2,4,3,2,3,2,2,1,22.0,4,1,4,4,4,5,4,0,3,4,4,3,3,4,4,2,3,4,3,4,4,5,5,3,1.25,1.5,1.2,2.0,1.0,5,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,2,9,(12+0j),(1+0j),False,1,2,5,15,2,2,3,4,5,2,2,5,6,1,3,4,5,6,9,6,12,4,6,4,3.0,5.0,3,4,2,1.4297619047619046,0.8472222222222222,0.9791666666666666,20.72222222222222,1.4297619047619046,2.9283039004935256,0.842086226851852,3.5763350545578247,1.5,8.804183151833818,0.285,0.3999999999999999,1.894427190999916,2.9144721634175235,8.975231959999626,2.417910447761194,1.2333333333333334,1.5666666666666664,1.2301587301587302,1.4297619047619046,False
G26,1,2,1,3,2,1,3,3,3,2,1,5,8,1,3,2,2,4,2.488033871712585,2.4761904761904763,3.144851053892361,3,4,3,2,2,2,1,1,12.0,3,1,4,3,4,4,2,1,3,4,4,2,3,3,2,1,2,3,3,3,4,4,4,3,1.0,1.25,1.0,1.6666666666666667,0.8333333333333334,4,True,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,3,6,(10+0j),0j,False,0,2,4,14,2,1,2,4,5,1,2,5,5,1,2,3,4,4,6,5,8,4,6,3,2.0,3.0,2,3,1,1.238095238095238,0.5069444444444444,0.7777777777777777,17.0,1.238095238095238,2.488033871712585,0.6405178326474623,3.1448510538923613,0.7499999999999999,7.9589732744431485,0.3125,0.5,2.0,2.82842712474619,8.0,2.1333333333333333,0.9666666666666666,1.2,1.0714285714285714,1.238095238095238,False
F_small_F3_HaHeHe,4,4,5,6,6,2,4,5,5,6,3,10,12,4,2,4,4,12,4.82842712474619,4.666666666666666,5.265986323710905,2,4,2,4,6,3,2,2,114.0,4,3,6,6,5,8,6,-2,4,7,6,8,6,6,8,6,8,6,4,7,8,8,7,6,2.5,2.5,2.0,3.333333333333333,1.6666666666666667,10,True,False,True,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,4,11,(12+0j),(2+0j),False,2,3,7,17,3,2,6,5,5,6,4,5,6,2,6,6,8,12,18,10,23,6,12,10,6.0,8.0,4,8,4,2.333333333333333,2.125,2.0,33.90333333333332,2.333333333333333,4.828427124746191,1.5,5.265986323710905,4.166666666666666,11.542472332656509,0.47859410430839,0.4952380952380951,2.380305702177233,3.7296593331346086,11.844568250160314,3.789473684210527,2.333333333333333,3.066666666666667,1.9428571428571424,2.333333333333333,False
MathematicaGraph2338,1,2,1,4,3,1,2,3,3,2,1,4,3,1,2,1,1,6,1.7320508075688776,1.5,1.5,1,3,2,3,3,2,1,1,9.0,1,1,3,2,3,3,2,-2,2,3,3,2,3,3,3,1,2,1,1,2,3,3,3,3,2.0,1.3333333333333333,1.0,2.0,0.8,6,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,3,(3+0j),0j,True,0,1,1,4,1,1,2,3,4,3,1,4,4,1,2,4,5,5,7,5,7,3,3,5,2.0,3.0,3,3,4,0.75,3.111111111111111,1.0,7.5,0.75,1.7320508075688776,0.8888888888888886,1.5,0.1666666666666666,2.598076211353316,0.4444444444444444,0.3333333333333333,1.0,1.2247448713915892,3.0,1.2,1.2,1.75,0.6000000000000001,0.75,False
figure_6_2_HaHeHe,7,9,11,12,9,3,6,7,10,9,5,19,22,7,3,9,7,24,9.346866552750669,9.2,10.027198506782842,2,4,2,6,11,7,5,2,694.0,10,2,12,10,8,16,13,-5,10,14,12,16,10,12,17,15,17,13,8,12,14,17,17,10,4.25,4.75,3.8,6.333333333333333,3.1666666666666665,17,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,5,24,(22+0j),(2+0j),False,2,6,13,32,5,4,11,10,5,14,7,5,7,3,12,10,13,22,34,16,46,10,22,22,12.0,18.0,10,15,8,4.6,4.006944444444445,4.055555555555555,70.59218316956418,4.6,9.346866552750669,2.675582990397805,10.027198506782844,7.749999999999999,21.609603343234426,0.8881774376417234,0.918027210884354,4.33439615867935,6.80865206808341,21.78777173034057,7.446153846153846,4.466666666666667,5.866666666666665,3.790476190476191,4.6,False
